Swedish_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
navigering,navigation,导航航行航空航海术定向导向操作路线搜寻,NOUN,B1
miljon,million,百万一百万巨额百万之众巨款无量数,NUM,A1
stipendium,stipend,津贴定期生活津贴奖学金生活补贴补助金神职津贴,NOUN,B1
kikare,binoculars,双筒望远镜望远镜观测双镜对筒镜军用测距远镜手提望远双镜,NOUN,A2
gargoyl,gargoyle,滴水嘴兽石雕怪兽雨水口雕塑滴水怪兽排水龙头兽头滴水口石兽,NOUN,B2
balansräkning,balance sheet,资产负债表决算表财务平衡表借贷平衡清册资金收支核算总表,NOUN,B2
mikrovågsugn,microwave,微波炉微波加热装置微波微波烹饪箱微波设备微波烤箱,NOUN,A2
emalj,enamel,珐琅搪瓷釉质牙釉质瓷釉釉面彩色珐琅涂层,NOUN,B1
myggnät,mosquito net,蚊帐防蚊网驱蚊纱窗防蚊头罩避蚊网纱窗罩防虫罩,NOUN,A2
lärd,erudite,博学的博古通今的有学问的学识渊博的深奥饱学的深知广识的,ADJ,B2
nidingdåd,villainy,罪恶行径恶毒邪恶恶劣行为坏蛋行径卑劣勾当极恶之罪,NOUN,Advanced
omplacering,displacement,流离失所移位取代排水量置换搬迁迫离故土,NOUN,B2
plundrande,plundering,掠夺抢劫劫掠抢掠横行肆虐洗劫纵火抢劫破坏,NOUN,B2
ok,yoke,轭枷锁束缚统治牛轭把套上轭使屈从连结器,NOUN,B2
underbarn,prodigy,神童奇才绝技奇迹奇特之物惊人之才罕见天才,NOUN,B2
knappt,scarcely,几乎不简直没有绝不刚刚勉强勉为其难断断没有,ADV,B1
sällan,seldom,很少极少罕见绝少不常几乎没有难得一见,ADV,A2
full av ånger,remorseful,懊悔的十分悔恨的深感内疚的自责的满怀痛悔的自咎抱憾的,ADJ,B2
vulkanisk,igneous,火成的岩浆形成的热成岩的原生火成作用的火成岩的由火山喷发形成的,ADJ,Advanced
franskspråkig,french-speaking,讲法语的法语的法语圈的说法语的法语使用的法裔地区的,ADJ,A2
hävda med eftertryck,contend,争辩声称斗争竞争主张坚决主张全力抗争,VERB,B2
vegetarian,vegetarian,素食者吃素的人严格素食主义者常年吃素者蔬菜饮食者,NOUN,A2
skjuta skott,sprout,发芽萌芽萌生迅速生长抽芽涌现冒出新叶,VERB,B1
gräva fram,unearth,发掘出挖出揭露查明搜罗现世掘取找到发掘,VERB,B2
möbelsnickare,cabinetmaker,细木工家具精制木工高级家具匠橱柜制作师傅巧匠大师,NOUN,B2
karva ut,carve,雕刻切开开创切肉在木石上镂空凿刻切片,VERB,B1
sörja,lament,哀悼痛惜哀叹哀诉恸哭为而痛惜悲切感伤,VERB,B2
narcissistisk,narcissistic,自恋的自我陶醉的盲目自夸的极其以自我为中心的爱恋自身的,ADJ,B2
rättrådighet,probity,廉洁正派正直刚正不阿清廉守法诚实无私操守无瑕,NOUN,Advanced
moraliserande,moralism,说教道德主义道学道德说教主义自以为合乎伦理的观点,NOUN,Advanced
tillskriva som orsak,ascribe,归因于归咎于认为属于把归功于把赋予,VERB,Advanced
replikera,replicate,复制重复模仿使精确重现折叠重复实验验证,VERB,B2
transkribera,transcribe,转录记录改编乐曲抄写记录谈话音译转译写成文本,VERB,B2
kakofoni,cacophony,刺耳杂音难听嘈杂声不和谐音狂乱喧闹刺耳杂乱音声,NOUN,Advanced
sprida ut,propagate,传播繁殖宣传普及扩展传送遗传扩散宣扬,VERB,B2
dela itu,bisect,二等分平分一分为二对半切开平分角度横断成两截,VERB,B2
triumf,triumph,胜利凯旋巨大的成功欢欣鼓舞战胜狂喜大捷大获全胜,NOUN,B1
uttala tydligt,enunciate,清晰发音明确阐明宣布宣告条理分明陈述表达明白,VERB,Advanced
med hänsyn till,in view of,鉴于考虑到由于鉴于事实在看来着眼于,ADP,B2
tömma på luft,deflate,放气使泄气击垮情绪紧缩通货紧缩通胀降低估值,VERB,B2
psykiatrisk,psychiatric,精神病学的精神科的精神病治疗的精神医学临床的精神疾病相关的,ADJ,B1
vidaresända,relay,转播继电器接力转发轮换中继传递中继传送接转,VERB,B2
kväka,croak,呱呱叫低沉沙哑说话死翘翘断气声衰鸣嘶哑呻吟,VERB,B2
motpol,antipode,对立面正相反的人正相反的事物地极相对点绝然对立之点,NOUN,Advanced
plundra hänsynslöst,plunder,强夺抢劫掠夺洗劫大肆侵吞搜刮掠取无度,VERB,B2
slag,sort,种类品种品质打分类整理挑选型款型格,NOUN,A2
bula,bump,肿块碰伤隆起处凸块撞击颠簸颠簸前行猛撞,NOUN,B1
benmärg,marrow,骨髓精华精髓葫芦深层核心骨髓组织,NOUN,B1
ledförbindelse,articulation,关节连接清音清晰发音表达接合部位关节构造,NOUN,Advanced
riktmärke,landmark reference point,参照点里程碑基准地标导向标杆判定参照准绳,NOUN,B1
kvot,ratio,比率比例比值分配定额系数折算比例,NOUN,B2
halvklot,hemisphere,半球半球体大脑半球地球半面地球半球区域,NOUN,B1
varannan vecka utkommande,biweekly,双周的每两周一次的半月一度的隔周举行的双周发表的,ADJ,B2
korporativism,corporatism,合作主义社团主义法西斯统制主义阶级结合论社团法团体制,NOUN,Advanced
utfall,outcome ending,结果结局结局转折成效收场收束落幕终了,NOUN,B2
åklagarmyndighet,prosecution service,检察机关公诉机关公诉部门检察官署起诉署检察机构,NOUN,B2
satir,satire,讽刺讽刺作品讽刺文学讽刺讽喻杂文讥讽艺术,NOUN,B2
migration,migration,迁徙移居移民迁出迁移迁徙旅程迁居过程,NOUN,B1
ofantlig,immense,巨大的无限的广大的无边无际的浩瀚无比的极庞大的,ADJ,B2
telefoni,telephony,电话技术电话通讯电话学电话网络语音传输系统,NOUN,B2
emigrera,emigrate,移居国外移出迁居外邦移民出境离开祖国向外定居,VERB,B1
livlös,lifeless,无生命的死一般的无生气的呆滞枯燥死寂绝望沉寂的,ADJ,B2
marginell,marginal,微不足道的边际的边缘的无足轻重的不重要的边缘化的,ADJ,B2
blidka,placate,平息抚慰使息怒使平静和解安抚宽慰情绪,VERB,Advanced
uppbygga själsligt,edify,教导训导陶冶启发教化在精神上指引指引道德,VERB,Advanced
rensa från olämpligt,expurgate,删改删除不良内容净化文字修订净化删削书籍去芜存菁,VERB,Advanced
påkslag,cudgel,短棒大木棍重棒警棍粗木杖以大棒打打砸击打,NOUN,B2
springa iväg i skräck,run away,逃跑溜走逃荒逃走私奔溜之大吉脱逃避走,VERB,A2
mos,mash,糊状物麦芽浆捣碎糊混杂饲料泥状浓汤糊糊,NOUN,A2
panikartad flykt,rout,溃败大败溃退彻底溃灭狼狈逃奔惨败破敌,NOUN,Advanced
prekarisering,precarization,不稳定化无保障化工作朝不保夕贫困化边缘不稳定倾向,NOUN,Advanced
skör,brittle,脆弱的易碎的易损坏的尖厉刺耳的冷淡僵硬脆弱敏感的,ADJ,B2
jury,jury,陪审团评判委员会评审组仲裁委员会裁决裁判席,NOUN,B1
kaross,bodywork,车身车架外壳钣金车身车体制造车身外层覆盖件,NOUN,B2
herravälde,supremacy,霸权至高无上最高地位主权统治最高统治权,NOUN,Advanced
sparris,asparagus,芦笋龙须菜石刁柏芦笋嫩茎天门冬属植物,NOUN,A2
hon,she they,她她们那个女子母性指称那个妇女,PRON,A1
kanjon,canyon,峡谷深谷深渊嶂谷溪谷绝壁深涧,NOUN,B1
mjuka upp,soften,变软使变温和缓和减弱缓和态度变柔和,VERB,B1
existentialism,existentialism,存在主义存在主义哲学现代人道存在论,NOUN,B2
rådig,resourceful,足智多谋的机智的富于机变善于随机应变的能想办法的,ADJ,B2
öka medvetenheten,raise awareness,提高认识唤醒公众意识引起关注唤起社会认识普及认知宣传造势,VERB,B1
bifalla,assent,同意赞同准许首肯表决同意首肯认可,VERB,B2
nykomling,newcomer,新来的人新手初学者新引进物新来者新面孔新客,NOUN,B1
riklig,ample,充裕的宽敞的富余的充足丰满的绰绰有余的,ADJ,B2
straffa hårt verbalt,castigate,严厉批评惩戒痛斥申斥谴责严正训斥,VERB,Advanced
röstsedel,ballot,选票无记名投票表决投票权投票总数候选投票纸,NOUN,B1
lägga ner,lay down,放下制定规定放下武器放弃敷设铺放,VERB,A2
dödlighetstal,mortality,死亡率死亡人数必死性终有一死灭亡归宿,NOUN,B2
trofast,faithful loyal,忠实的忠诚的如实的守信的坚贞不二的赤胆忠心的,ADJ,B1
fullkomlighet,plenitude,充分完全大量丰富充盈圆满无缺,NOUN,Advanced
skamlöst djärv,brazen,厚颜无耻的黄铜制的放肆大胆坚硬狂妄的,ADJ,B2
avla fram,generate engender,产生引起导致招致孕育制造生出,VERB,B2
existentiell,existential,存在的存在主义的关乎生存的关于人生意义的生死存亡的,ADJ,B2
vänskaplig,amicable,友好的和平的平心静气的善意睦邻的友好协商的,ADJ,B2
klarhet,lucidity,清醒清晰头脑清醒明朗易懂条理明晰,NOUN,B2
solipsism,solipsism,唯我论唯我主义极端唯我观念纯主观世界观,NOUN,Advanced
endräkt,concord,和睦和谐一致协和公约协调融洽,NOUN,B2
profylax,prophylaxis,预防预防法预防措施预防性治疗防疫防病方案,NOUN,Advanced
oj,yikes,哎呀呀天哪哎唷吓死我了哇呀,INTJ,A1
manuellt,manually,用手地手工地操作人工手动地依靠人力操作地,ADV,B1
larvfjäril,caterpillar,毛毛虫毛虫履带车蝶蛾幼虫链轨履带,NOUN,B1
vaksamt uppmärksam,vigilant,警惕的戒备森严的警惕不懈的警醒警觉细心的,ADJ,B2
vidareutbildning,advanced study,进修深造高级研究高阶研修业务深造专项高级研习,NOUN,B1
slutgiltig,final,决赛期终考试最终的期末结局最后的决定局,NOUN,A2
pomelo,pomelo,柚子文旦沙田柚香栾四季柚甜柚果,NOUN,B1
ordningsmakt,law enforcement,执法部门治安力量警察执法执法队伍治安维稳法治当局,NOUN,B2
kassaskåp,safe,保险箱保险柜密室防盗柜保险箱保洁柜,NOUN,A2
utelämna från helheten,leave out,遗漏省略排除在外不包括省去漏掉置之不理,VERB,A2
föreläsa,lecture,演讲授课教训开讲座斥责高谈阔论宣讲,VERB,B1
långt borta,far,遥远地长久地大大地极其远隔重洋深远地,ADV,A1
spjutspetsteknologisk,advanced technology,先进技术的尖端高科技的尖端工艺的先锋技术的精深工业的,ADJ,B2
inre kraft,internal force,内力内部凝聚力内在动力自驱力内家内劲自身能量,NOUN,B2
utbytesstudent,international student,留学生国际学生交换留学生外籍进修学者海外学生国外研修者,NOUN,A2
ingen alls,none,没有任何人一个也没有毫无毫无留存全无毫无价值,PRON,A1
markera,mark,做记号标出给打分留意标志强调记录,VERB,A2
rakt,right,正好直接恰恰顺直地垂直地径直地,ADV,A1
döma till straff,sentence,宣判判处判决裁决给以处分处刑判刑,VERB,B1
helt och hållet,altogether,完全全部总共总之大体上总而言之一并,ADV,B1
depå,depot,车库仓库补给站储藏所货栈转运站兵站,NOUN,B1
diskotek,disco,迪斯科舞厅迪厅跳舞俱乐部伴舞酒廊慢摇吧,NOUN,A1
dossier,dossier,档案卷宗材料案卷个人档案专案资料集,NOUN,B2
golf,golf,高尔夫球高尔夫运动打高尔夫球高尔夫锦标草场赛,NOUN,A1
manuell,manual,手工的手动的体力的手册操作的用手操作的,ADJ,B1
minoritetsrelaterad,minority,少数的少数群体的占少数的非主流少数派别的,ADJ,B1
papaja,papaya,木瓜番木瓜万寿果木瓜树热带番瓜乳瓜,NOUN,A1
kroppshållning,posture,姿势体态态度姿态站姿心理立场体位,NOUN,B1
omprövning,rethinking,反思重新思考重新评估再议复盘深思重新检讨,NOUN,B2
svärdskonst,swordsmanship,剑术剑法击剑术刀剑技法剑道修养用剑绝技,NOUN,B2
fotokopiera,photocopy,影印复印用复印机复制晒印副本复印文本,VERB,A2
helkropp,whole body,全身周身浑身全躯体体表全境全系统身体通体,NOUN,B1
romersk,roman,罗马的古罗马的罗马帝国的罗马天主教的拉丁的,ADJ,A2
mig själv,myself,我自己亲自我本人亲自处理自身独立,PRON,A1
ta avsked,take leave,告辞告别离别请假辞别去职退席离去,VERB,B1
utmaning,dare,敢于激将挑衅敢为胆大妄为勇敢尝试,NOUN,B1
sto,mare,母马雌马母驴雌性母马母兽,NOUN,A2
övervikt i inflytande,preponderance,优势优势地位优势力量数量上占优压倒多数控制权,NOUN,Advanced
arkivering,archiving,归档存档档案保管文件归档封存操作数据归档,NOUN,B1
rysa av välbehag,thrill,毛骨悚然感到极其兴奋发抖使狂喜使极度激动,VERB,B1
skjuta upp,defer,推迟延期拖延听从遵从延缓执行让步,VERB,B2
misslyckas att uppfylla,fail to fulfill,未能履行未能实现失信未达成没有做到失责,VERB,B2
falska nyheter,fake news,虚假新闻假新闻假消息谣言编造资讯虚妄报道,NOUN,A2
klant,bungler,笨手笨脚的人笨蛋笨拙搞砸者成事不足败事有余者低能者,NOUN,B2
trötta ut,weary to tire,使筋疲力尽使厌倦劳顿使心力交瘁耗尽体力疲劳累倒,VERB,B1
leda vilse,lead astray,引入歧途误导使走入邪路诱骗使迷失方向引诱走偏,VERB,B2
släcka ut,turn off extinguish,关掉熄灭扑灭消灭关闭电器消解火光,VERB,A2
återupptäcka,rediscover,重新发现再次领悟再认识重拾记忆重新找到再度探知,VERB,B1
avrätta i giljotin,guillotine,送上断头台斩首处死用断头机斩首用切纸刀切断,VERB,Advanced
trubbnäst,flat-nosed,塌鼻子的扁平鼻子的塌鼻短吻的朝天鼻平鼻梁的,ADJ,B1
dragspel,accordion,手风琴六角手风琴键钮式手风琴折叠乐器排风琴,NOUN,A2
intendent,curator,馆长策展人监护人资产清算人保管人典藏主管,NOUN,B2
humanisera,humanize,使人性化赋予人情味教化使近人情使文明有礼,VERB,B2
främsta,prime,首要的主要的最佳的最初的质数的原始的,ADJ,B2
lövverk,foliage,树叶植物的叶子枝叶叶簇树丛簇生绿叶,NOUN,B1
enkelfoting,centipede,蜈蚣百足虫蚰蜒节肢动物百足,NOUN,B2
processuell,procedural,程序上的程序法的诉讼程序上的流程规程的规章的,ADJ,B2
erhu,erhu,二胡中国二弦弓弦乐器南胡传统二弦琴民族弦乐器胡琴,NOUN,B1
reklamrelaterad,advertising,广告的做广告的宣传广告业的广告推销用的,ADJ,B1
offentliggörande,disclosure,披露透露揭发公开展示被揭露的内幕曝光内容,NOUN,B2
tillfällig förflyttning,secondment,借调临时派遣调派兼职支援外派借用临时调任,NOUN,Advanced
elektron,electron,电子负电子带负电粒子电子束亚原子微粒,NOUN,B1
ethereum,ethereum,以太坊以太币公链代币智能合约数字资产分布式账本,NOUN,B2
skatteintäkt,revenue,财政收入税收营业收入国家岁入收益所得进账,NOUN,B2
häleri,receiving stolen goods,窝赃买卖赃物销赃窝藏赃物罪买受赃物知情收赃,NOUN,B2
skandinavisk,scandinavian,斯堪的纳维亚的北欧的北欧风尚的斯堪的纳维亚半岛的,ADJ,A2
polysyndes,polysyndeton,连词叠用多连词并列法修辞多连结多重连词句法反复连结构造,NOUN,Advanced
upplysande,informative,提供有用信息的长见识的信息量大的增长见闻的富有启发性的,ADJ,B1
professionalism,professionalism,专业精神职业水准专业化专门素养职业道德专业水平,NOUN,B2
oligopol,oligopoly,寡头垄断寡占几个巨头控制寡头市场少数企业垄断,NOUN,Advanced
kompetensområden,competencies,核心能力职能资格技能范畴胜任资质专业能力储备,NOUN,B2
avfalla från tron,apostatize,背弃宗教叛教脱党离经叛道背叛信念违弃誓言,VERB,Advanced
provokativ,provocative,挑衅的煽动性的激发兴趣的引人注目的刺激性感惹人发火的,ADJ,B2
polaritet,polarity,极性截然相反两极分化磁极状态对立状态正负两极性,NOUN,B2
resektion,resection,切除术器官部分切除组织截除截除手术部分切片切除,NOUN,Advanced
återvinning av mark,reclamation,开垦填海造陆土壤改良废品回收改造纠正纠偏,NOUN,Advanced
spaning,scouting locating,侦察搜索侦查选拔搜罗定位探查行踪搜寻,NOUN,B2
förslavande,enslavement,奴役束缚受奴役状态强制为奴被压迫做牛做马,NOUN,B2
godtycke,arbitrariness,随意武断任性专断霸道无理专制行径任意性,NOUN,Advanced
spårning,tracking,追踪跟进跟踪轨迹追踪追踪系统数据轨迹记录,NOUN,B1
militär,military,军队军方军人武装力量军人阶层军旅人员,NOUN,A2
Gud Herren,lord god,主上帝耶和华万军之主神天主至高主宰,NOUN,B1
smältning,melting,熔化融化溶解熔炼软化温化熔融,NOUN,B1
introversion,introversion,内向内省内倾性格不爱交际内倾性寡言内向,NOUN,B2
sammankallande,convening,召集开会召唤召集会议召集令聚集会众,NOUN,B2
sammandragning,contraction,收缩痉挛缩略词缩小减缩缩短会聚,NOUN,B2
självmordsbenägen,suicidal,自杀性的自取灭亡的自暴自弃的毁灭性的有自杀倾向的寻死的,ADJ,B2
iller,ferret,雪貂白鼬黑足鼬寻根究底搜寻四处搜寻的人,NOUN,B1
autokrati,autocracy,独裁统治专制政治独裁政体专制君主制专政独揽大权体制,NOUN,Advanced
artificiellt,artificially,人工地人造地虚假做作地不自然地人为规定地矫揉造作地,ADV,B1
böjning,bending,弯曲弯折曲挠挠度屈服倾斜回弯折叠,NOUN,B1
tippa över,tip over,翻倒倾覆翻倒在侧打翻碰倒翻车侧翻,VERB,B1
kyla i bemötande,coldness,冷淡冷酷寒冷冷漠态度冰冷冷冰冰的神色无情冷淡,NOUN,B1
repetition,rehearsal,排练排演彩排复述演练预演重复练习,NOUN,B1
sparvhök,sparrowhawk,雀鹰雀鹰鸟细爪鹰小型猛禽苍鹰小鹰,NOUN,B2
avhandling,disquisition,专题论文专题演讲学术探讨长篇详论学术探研剖析专著,NOUN,Advanced
krigsbyte,remains spoils,战利品赃物残骸掠夺品遗落收益劫掠物分得财物,NOUN,B2
portvakt,gatekeeper,守门人看门人把关者信息把关机构守门卫士防范者,NOUN,B2
på liknande sätt,similarly,同样地类似地差不多同理亦然照样同样,ADV,B1
selektivt,selectively,有选择地挑剔地挑选性地区别对待地定向选择地选优地,ADV,B2
falkenering,falconry,放鹰捕猎放鹰术训鹰术猎鹰技艺训鹰狩猎放隼术,NOUN,Advanced
systematiskt,systematically,系统地有条理地有计划地全面条理化地按部就班地规整地,ADV,B2
grymt,cruelly,残酷地残忍地极狠心地惨无人道地冷酷地虐待性地,ADV,B1
uppenbarligen,patently,显然地明明白白地昭然若揭地无可否认地无可争辩地公然地,ADV,B2
verifiering,verification,验证确认核实证实鉴定真伪查核核对,NOUN,B2
partiskhet,partisanship,偏袒党派偏见盲从党派党性盲目拥护宗派偏心,NOUN,Advanced
arsenal,arsenal,军火库军械库储藏大量武器储备武器库宝库,NOUN,B2
dämpning,attenuation,衰减减弱变薄稀释平息减幅阻尼效应,NOUN,B2
extremism,extremism,极端主义过激主张极端思想狂热倾向激进主义过激行为,NOUN,B2
sufism,sufism,苏菲主义伊斯兰神秘主义苏菲派修道思想伊斯兰苏菲神智学神秘宗派,NOUN,Advanced
oavgjort resultat,draw,平局拉平抽签抽屉拉拔吸引力平手,NOUN,A2
ömsesidigt stöd,mutual support,相互支持互相帮助互助互利共同协力携手支持,NOUN,B1
delegationer,delegations,代表团代表委派授权派遣代表组外派工作团队受托团,NOUN,B2
svullnad,swelling,肿胀肿块浮肿膨胀凸起充血性水肿红肿,NOUN,B1
självhävdelse,assertiveness,魄力过人自信果敢坚定自信坚决主张自我意识自信从容,NOUN,B2
förgudning,apotheosis,神化封神登峰造极崇拜到极点典范极致升华至神,NOUN,Advanced
storskrävleri,boastfulness,夸耀自大好吹牛皮自夸傲慢夸口大言自鸣得意,NOUN,Advanced
frikännande,exculpation,开脱辩明无罪洗清罪名证明清白昭雪脱罪解释免责,NOUN,Advanced
förbipasserande i text,preterition,假省笔法暗提法故作隐瞒假装略过表面省略其实提及修辞略过法,NOUN,Advanced
omkörning,overtaking exceeding,超车超越胜过跨越超越界限领先超越赶超,NOUN,B1
återbildning,regeneration,再生新生重建复兴革新改造恢复生机,NOUN,B2
naturalisation,naturalization,归化入籍取得国籍风土驯化自然化接受为公民归化程序,NOUN,B2
panikrusning,stampede,惊逃人群拥挤狂奔受惊狂踩踩踏事故夺路狂奔溃散狂奔,NOUN,B2
spruta fram,spout,喷出涌出喋喋不休滔滔不绝大声吟诵喷射出液体喷发,VERB,B2
forsande välla,gush,涌出喷出滔滔不绝地夸赞发红狂涌激动倾诉溢出,VERB,B2
eeg-undersökning,eeg,脑电图脑电图检查脑电波脑电波图谱脑电监测脑电扫描描记,NOUN,B2
ornamentering,ornamentation,装饰装潢装饰图案花纹点缀美化装饰艺术华丽修饰,NOUN,B2
tränga ihop sig,crowd together,拥挤在一起挤作一团挤成堆聚集聚集到一块群聚抱团,VERB,B1
skridskoåkning,skating,滑冰溜冰花样滑冰滑冰运动轮滑冰上行进,NOUN,A2
böjningsform,inflection,屈折词形变化转调弯曲音调抑扬曲折变形语调变化,NOUN,B2
avsmalning,narrowing,变窄收紧狭窄化缩小限制变细隘缩狭缩,NOUN,B2
ordkonkordans,concordance,语境索引索引典用语索引词汇对照一致和谐调和表,NOUN,Advanced
fördjupa sig i,go deep into,深入研究深入探究细致了解深究沉浸于研习透彻,VERB,B1
subsidiaritet,subsidiarity,辅助性原则权责下沉原则补充性原则下级优先管辖协作自治规范,NOUN,Advanced
pendla upp och ner,fluctuate,波动上下起伏动荡变动摇摆不定浮动推移,VERB,B2
antydning,insinuation,影射暗示暗讽含沙射影暗指冷嘲热讽拐弯抹角,NOUN,B2
andning,breathing,呼吸吸气与呼气气息喘息呼吸作用通气呼吸机制,NOUN,A2
degenerativ,degenerative,退行性的退化的变性的变坏衰退恶化加剧的,ADJ,B2
samtala innerligt,commune,亲切交谈领圣餐密切交流心领神会与心神交融感应交谈,VERB,Advanced
hemlig samverkan,collusion,共谋勾结串通暗中通气狼狈为奸非法串联谋划垄断,NOUN,Advanced
breddning,widening,拓宽加宽扩大扩展变宽范围扩展拓宽工程,NOUN,B2
motström,countercurrent,逆流反向水流反向潮流对抗逆境对冲流反动倾向,NOUN,B2
masta ett fartyg,mast,立桅杆装桅杆于装设主桅高耸如桅竖立巨木,VERB,Advanced
jollrande prat,babble,胡言乱语咿呀学语喋喋不休潺潺流水声喃喃自语胡扯瞎聊,NOUN,B1
ett trettiotal,about thirty,约三十个三十来个三十左右三十许三十人上下大约三十,NOUN,B1
duett,duet,二重唱二重奏双人表演双人协作二重演双人乐曲二重演艺,NOUN,B1
barlast,ballast,压舱物压载碎石道碴重载压载料稳定物维持平衡重物,NOUN,B2
tillåten,permissible,允许的可容许的合法的许可的合情理的标准内的准许的,ADJ,B2
skrammel,clatter,咔嗒声碰撞声当啷声吵闹声嘈杂的敲击声叮当声喧闹声,NOUN,B1
associativ,associative,联想的结合的结合律的关联性的引发联想的联合组构的,ADJ,B2
tygellös,unbridled,不受约束的放肆的放纵的毫无节制的横冲直撞的未加套缰的,ADJ,Advanced
skena,splint,用夹板固定上夹板固定骨折用托板支持用薄木片绑扎,VERB,B2
beröva egendom,dispossess,剥夺财产剥夺继承权逐出驱逐出领地收缴充公剥夺所有权,VERB,Advanced
torka,aridity,干旱干燥荒芜贫瘠无趣枯燥单调干涸,NOUN,Advanced
sakna kännedom om,be unaware,不知情未察觉到毫无察觉不了解没有意识到蒙在鼓里,VERB,B1
anagram,anagram,变位词重组词拼位谜语调换字母成新词易位构词法字母易位词,NOUN,B2
försiktig,prudent,谨慎的深谋远虑的精明的节俭的小心翼翼的周全稳妥的,ADJ,B2
anteckning,annotation,注释旁注批注评注释义注解文字文献注释,NOUN,B2
gravid,gravid,怀孕的妊娠期的满载的大腹便便的怀胎的孕育有生机的,ADJ,B2
tioarmad bläckfisk,squid,鱿鱼乌贼枪乌贼枪鱿墨鱼管鱿海生软体管乌贼,NOUN,A2
snöre,cord,绳索粗线电线索带脐带绳细缆线绝缘软线,NOUN,A2
staka ut,mark out,标出划定规划划出边界设立记号标示路线圈定范围,VERB,B1
gissa rätt,guess right,猜对猜准猜中心思料中推测正确算中预感准确,VERB,A2
omgjorda,gird,束紧佩戴束上准备行动环绕围绕束带包围固守,VERB,Advanced
nadir,nadir,最低点绝望的深渊天底最不幸时刻谷底深渊绝对低谷,NOUN,Advanced
grävmaskin,excavator,挖掘机挖土机掘土机开凿机工程挖机铲斗挖掘挖掘机设备,NOUN,B1
stillasittande livsstil,sedentary lifestyle,久坐的生活方式缺乏运动的生活习惯常坐少动静坐少动的作息长期坐着的生活模式,NOUN,B2
lockande,alluring,诱人的极有魅力的迷人的引人注目的勾魂摄魄的吸引人的,ADJ,B2
underställd lagen,subject to the law,受法律约束的服从法律规范的须依法办事的受法律规管的在法律管辖范围的法定管辖的,ADJ,B2
skull,sake,缘故利益目的看在份上为了起见为了的原由,NOUN,B1
domna bort,go numb,发麻失去知觉变得麻木麻木不仁麻木呆滞全身失去痛感毫无知觉,VERB,B1
förtrolla bort,spirit away,偷偷带走神秘地拐走秘密运走使神秘失踪悄然移走用法术弄走,VERB,Advanced
mixer,blender,搅拌机果汁机食物料理机混匀器粉碎机调配器电动搅拌器,NOUN,A2
vik,cove,小海湾山凹小水湾深凹避风小湾内凹海湾石凹小洞,NOUN,B1
desillusion,disenchantment,幻灭醒悟清醒绝望破除迷梦看透真相失去热忱,NOUN,B2
barmhärtig,charitable,慈善的仁慈的慷慨宽容的博爱的乐善好施的慈悲为怀的,ADJ,B2
illojalitet,disloyalty,不忠背叛变节不诚实背信弃义不忠诚不义之举,NOUN,B2
mildhet,gentleness,温柔和蔼温和文雅和善仁慈慈祥柔顺,NOUN,B1
stöttande,supportive,支持的支持性的热心鼓励的起辅助作用的给予帮助的力挺的,ADJ,B1
kittling,tickle,发痒挠痒逗痒发痒的感觉胳肢使人高兴的事逗乐,NOUN,B1
dynamik,dynamism,活力魄力动态性生机劲头动力机制动能体系,NOUN,B2
fordringar,receivables,应收账款债权应收款项应收票据应收资产期末未收账结余账目,NOUN,B2
matkännare,gourmet,美食家美食鉴赏家讲究饮食者品味行家老饕精细饮食家,NOUN,B2
överflödande mängd,plenty,丰富充足充裕大量许多极其充沛的物资万物丰饶,NOUN,A2
högsinthet,loftiness,高尚傲慢崇高巍峨显赫高不可攀巍然屹立之感,NOUN,Advanced
lappa ihop,patch,补修修补缝补暂时平息打补丁给打补丁给补缀,VERB,B1
slapp muskulärt,flaccid,松弛的软弱无力的软瘫的无生气的下垂无力的蔫瘪的,ADJ,Advanced
kaj,wharf,码头停泊所货运码头装卸平台船坞泊位石码头水运栈桥,NOUN,B1
upphöja,elevate,提升举起抬高振奋情绪晋升提拔推崇使升华,VERB,B2
befordra,ascend to promote,晋升提升提拔促成擢升步步高升登上推进升迁,VERB,B1
spillning,droppings,鸟兽粪便禽畜粪排泄物落粪遗矢污秽排遗料野兽留粪,NOUN,B2
zombie,zombie,僵尸行尸走肉丧尸木头人麻木迟钝的人被操纵的傀儡复活死尸,NOUN,B1
bestraffande,punitive,惩罚性的严厉的刑罚的惩戒性质的报复性的处治性质的,ADJ,B2
lilja,lily,百合花百合纯洁之人百合状饰物百合科名花香水百合花,NOUN,A2
löjeväckande liten,derisory paltry,微不足道的微薄可笑的少得可怜的嘲弄性的不值一提的少得轻蔑的可悲微量的,ADJ,Advanced
motstånd,drag,阻力拖拽空气阻力累赘拉力抽吸异装阻碍,NOUN,B1
molnskyar,clouds,云层密云阴云云彩乌云集结密布的阴霾乱云,NOUN,A1
grotesk,grotesque,荒诞的古怪的怪诞的极其丑陋的荒唐无稽的乖张怪异的奇异的,ADJ,B2
pulvrisera,powder,涂粉搽粉将研磨成粉用粉末覆盖捣碎成粉撒粉使化为碎屑,VERB,B2
skyndsam,expeditious,敏捷的迅速的迅速有效的迅速快捷的办事务实的动作麻利的,ADJ,Advanced
slaganfall,apoplexy,中风脑中风卒中暴怒大发脾气脑溢血暴溢病,NOUN,Advanced
taxibil,taxi,出租车计程车出租汽车打车网约车计程小型车客运出租车,NOUN,A1
