Spanish_Lemma,English_Lemma,Chinese_Lemma,POS
espurio,spurious,假的,ADJ
espárrago,asparagus,芦笋,NOUN
espátula,spatula,刮刀,NOUN
esquela,obituary notice,讣告,NOUN
esqueleto,skeleton,骨架,NOUN
esquelético,skeletal,骨骼的,ADJ
esquema,scheme,方案,NOUN
esquemático,schematic,概要的,ADJ
esquiar,to ski,滑雪,VERB
esquilmar,to fleece,搜刮,VERB
esquinazo,corner,街角,NOUN
esquirol,strikebreaker,工贼,NOUN
esquivar,to dodge,躲避,VERB
esquivez,aloofness,冷漠,NOUN
esquizofrenia,schizophrenia,精神分裂症,NOUN
esquizofrénico,schizophrenic,精神分裂的,ADJ
esquí,ski,滑雪板,NOUN
estabilidad,stability,稳定,NOUN
estabilización,stabilization,稳定化,NOUN
estabilizar,to stabilize,使稳定,VERB
establecimiento,establishment,机构,NOUN
establo,stable,马厩,NOUN
estaca,stake,桩,NOUN
estacionar,to park,停车,VERB
estadía,stay,停留,NOUN
estadística,statistics,统计学,NOUN
estadístico,statistical,统计的,ADJ
estafador,swindler,骗子,NOUN
estafar,to swindle,诈骗,VERB
estallido,explosion,爆发,NOUN
estamento,estate,阶层,NOUN
estampa,print,版画,NOUN
estampado,printed,印花的,ADJ
estancado,stagnant,停滞的,ADJ
estancia,stay,逗留,NOUN
estandarte,banner,旗帜,NOUN
estandarizar,to standardize,标准化,VERB
estanque,pond,池塘,NOUN
estante,shelf,架子,NOUN
estantería,bookcase,书架,NOUN
estatismo,statism,国家主义,NOUN
estatuir,to enact,制定,VERB
estatura,height,身高,NOUN
estatuto,statute,法规,NOUN
estaño,tin,锡,NOUN
estela,wake,尾迹,NOUN
estepa,steppe,草原,NOUN
estercolar,to manure,施肥,VERB
estercolero,dunghill,粪堆,NOUN
estereotipo,stereotype,刻板印象,NOUN
estereotípico,stereotypical,刻板的,ADJ
esterilidad,sterility,不育,NOUN
esterilizar,to sterilize,消毒,VERB
estertor,death rattle,濒死喉鸣,NOUN
esteva,plow handle,犁柄,NOUN
estiba,stowage,装载,NOUN
estibador,stevedore,码头装卸工,NOUN
estigma,stigma,污名,NOUN
estigmatizar,to stigmatize,污名化,VERB
estilete,stiletto,短剑,NOUN
estilizar,to stylize,风格化,VERB
estimación,estimate,估计,NOUN
estimar,to estimate,估计,VERB
estimulante,stimulating,刺激的,ADJ
estimular,to stimulate,刺激,VERB
estío,summer,夏季,NOUN
estipendio,stipend,津贴,NOUN
estipulación,stipulation,规定,NOUN
estipular,to stipulate,规定,VERB
estirado,stretched,拉伸的,ADJ
estirar,to stretch,拉伸,VERB
estirpe,lineage,血统,NOUN
estiércol,manure,粪肥,NOUN
estofado,stew,炖菜,NOUN
estoico,stoic,坚忍的,ADJ
estoque,rapier,细剑,NOUN
estorbar,to hinder,阻碍,VERB
estorbo,hindrance,障碍,NOUN
estornudar,to sneeze,打喷嚏,VERB
estornudo,sneeze,喷嚏,NOUN
estrafalario,outlandish,古怪的,ADJ
estragar,to spoil,损坏,VERB
estrago,ravage,破坏,NOUN
estrambótico,outlandish,古怪的,ADJ
estrangulación,strangulation,扼杀,NOUN
estrangular,to strangle,扼杀,VERB
estraperlo,black market,黑市,NOUN
estratagema,stratagem,计谋,NOUN
estratificación,stratification,分层,NOUN
estratificar,to stratify,分层,VERB
estrato,stratum,阶层,NOUN
estratégico,strategic,战略的,ADJ
estrechamiento,narrowing,变窄,NOUN
estrechez,narrowness,狭窄,NOUN
estrecho,narrow,狭窄的,ADJ
estremecedor,startling,令人震惊的,ADJ
estremecer,to shake,使颤抖,VERB
estremecimiento,shudder,战栗,NOUN
estrenar,to premiere,首演,VERB
estreno,premiere,首演,NOUN
estrepitoso,thunderous,雷鸣般的,ADJ
estresar,to stress,使紧张,VERB
estreñimiento,constipation,便秘,NOUN
estreñir,to constipate,使便秘,VERB
estriado,grooved,有条纹的,ADJ
estribillo,refrain,副歌,NOUN
estribor,starboard,右舷,NOUN
estricto,strict,严格的,ADJ
estridente,strident,刺耳的,ADJ
estro,inspiration,灵感,NOUN
estropear,to ruin,毁坏,VERB
estructurar,to structure,构建,VERB
estruendo,uproar,喧嚣,NOUN
estrujar,to squeeze,挤压,VERB
estrépito,din,巨响,NOUN
estuario,estuary,河口,NOUN
estuche,case,盒子,NOUN
estudioso,studious,勤奋的,ADJ
estulto,foolish,愚蠢的,ADJ
estupefacto,stupefied,惊呆的,ADJ
estupor,stupor,昏迷,NOUN
estupro,statutory rape,强奸,NOUN
estática,statics,静力学,NOUN
estático,static,静态的,ADJ
estéril,sterile,无菌的,ADJ
estética,aesthetics,美学,NOUN
estético,aesthetic,美学的,ADJ
estímulo,stimulus,刺激,NOUN
estólido,stolid,迟钝的,ADJ
eternizar,to eternalize,使永恒,VERB
etimología,etymology,词源学,NOUN
etiquetar,to label,贴标签,VERB
etrusco,Etruscan,伊特鲁里亚的,ADJ
etéreo,ethereal,空灵的,ADJ
eucaristía,Eucharist,圣体圣事,NOUN
eufemismo,euphemism,委婉语,NOUN
euforia,euphoria,欣快感,NOUN
eufónico,euphonic,悦耳的,ADJ
eufórico,euphoric,兴高采烈的,ADJ
eunuco,eunuch,太监,NOUN
eurasiático,Eurasian,欧亚的,ADJ
eutanasia,euthanasia,安乐死,NOUN
evacuar,to evacuate,疏散,VERB
evadir,to evade,逃避,VERB
evaluar,to evaluate,评估,VERB
evangelio,gospel,福音,NOUN
evangelista,evangelist,传福音者,NOUN
evangelizar,to evangelize,传福音,VERB
evangélico,evangelical,福音派的,ADJ
evaporación,evaporation,蒸发,NOUN
evaporar,to evaporate,蒸发,VERB
evasivo,evasive,回避的,ADJ
evasión,evasion,逃避,NOUN
eventual,occasional,偶然的,ADJ
evidenciar,to evidence,证明,VERB
evocación,evocation,唤起,NOUN
evocador,evocative,引起回忆的,ADJ
evocar,to evoke,唤起,VERB
evolucionar,to evolve,进化,VERB
exabrupto,outburst,失言,NOUN
exacerbar,to exacerbate,加剧,VERB
exactitud,exactitude,精确,NOUN
exageración,exaggeration,夸张,NOUN
exagerado,exaggerated,夸张的,ADJ
exagerar,to exaggerate,夸张,VERB
exaltación,exaltation,狂热,NOUN
exaltado,exalted,狂热的,ADJ
exaltar,to exalt,赞扬,VERB
exangüe,bloodless,无血色的,ADJ
exasperación,exasperation,恼怒,NOUN
exasperar,to exasperate,激怒,VERB
excarcelar,to release from prison,释放,VERB
excavadora,excavator,挖掘机,NOUN
excavar,to excavate,挖掘,VERB
excedente,surplus,过剩,NOUN
exceder,to exceed,超过,VERB
excelso,sublime,崇高的,ADJ
excentricidad,eccentricity,古怪,NOUN
excitabilidad,excitability,兴奋性,NOUN
excitación,excitement,兴奋,NOUN
excitar,to excite,使兴奋,VERB
exclamación,exclamation,感叹,NOUN
exclamar,to exclaim,呼喊,VERB
excluir,to exclude,排除,VERB
exclusividad,exclusivity,排他性,NOUN
exclusivismo,exclusivism,排外主义,NOUN
exclusivo,exclusive,独有的,ADJ
exclusión,exclusion,排除,NOUN
excomulgar,to excommunicate,逐出教会,VERB
excomunión,excommunication,绝罚,NOUN
excoriar,to excoriate,擦伤,VERB
excrecencia,excrescence,赘生物,NOUN
excremento,excrement,排泄物,NOUN
exculpación,exculpation,开脱,NOUN
exculpar,to exculpate,为...开脱,VERB
excusar,to excuse,原谅,VERB
excéntrico,eccentric,古怪的,ADJ
exención,exemption,豁免,NOUN
exequias,funeral rites,葬礼,NOUN
exfoliar,to exfoliate,去角质,VERB
exhalación,exhalation,呼气,NOUN
exhalar,to exhale,呼气,VERB
exhausto,exhausted,筋疲力尽的,ADJ
exhibir,to exhibit,展示,VERB
exhortación,exhortation,劝诫,NOUN
exhortar,to exhort,劝诫,VERB
exhumación,exhumation,掘墓,NOUN
exhumar,to exhume,掘墓,VERB
exigencia,demand,要求,NOUN
exigir,to demand,要求,VERB
exilado,exiled,被流放的,ADJ
exiliado,exiled,被流放的,ADJ
exiliar,to exile,流放,VERB
exilio,exile,流亡,NOUN
eximio,eminent,杰出的,ADJ
eximir,to exempt,免除,VERB
existencial,existential,存在主义的,ADJ
exoneración,exoneration,免责,NOUN
exonerar,to exonerate,免责,VERB
exorbitante,exorbitant,过高的,ADJ
exorbitar,to exceed,超出,VERB
exorcizar,to exorcise,驱魔,VERB
expansivo,expansive,扩张的,ADJ
expansión,expansion,扩张,NOUN
expatriación,expatriation,移居国外,NOUN
expatriar,to expatriate,使移居国外,VERB
expectación,expectation,期待,NOUN
expectante,expectant,期待的,ADJ
expectativa,expectation,期望,NOUN
expectoración,expectoration,咳出,NOUN
expectorar,to expectorate,咳出,VERB
expedicionario,expeditionary,远征的,ADJ
expedir,to issue,签发,VERB
expeditivo,expeditious,迅速的,ADJ
expedito,unimpeded,畅通的,ADJ
expeler,to expel,驱逐,VERB
expender,to dispense,分发,VERB
expensas,expenses,费用,NOUN
experimentación,experimentation,实验,NOUN
expiación,atonement,赎罪,NOUN
expiar,to atone,赎罪,VERB
expiración,expiration,到期,NOUN
expirar,to expire,到期,VERB
explayar,to expand,详述,VERB
expletivo,expletive,虚词,NOUN
exploración,exploration,探索,NOUN
explorador,explorer,探险家,NOUN
exploratorio,exploratory,探索性的,ADJ
explosivo,explosive,爆炸性的,ADJ
explotable,exploitable,可开发的,ADJ
explotación,exploitation,开发,NOUN
explícitamente,explicitly,明确地,ADV
explícito,explicit,明确的,ADJ
expoliar,to plunder,掠夺,VERB
expolio,plundering,掠夺,NOUN
exponencial,exponential,指数的,ADJ
exponente,exponent,指数,NOUN
exportación,export,出口,NOUN
exportar,to export,出口,VERB
expositor,exhibitor,展览者,NOUN
expreso,express,明确的,ADJ
exprimir,to squeeze,挤压,VERB
expropiación,expropriation,征用,NOUN
expropiar,to expropriate,征用,VERB
expulsar,to expel,驱逐,VERB
expulsión,expulsion,驱逐,NOUN
expurgar,to expurgate,删改,VERB
exquisitez,exquisiteness,精致,NOUN
exquisito,exquisite,精致的,ADJ
extasiar,to enrapture,使狂喜,VERB
extemporáneo,untimely,不合时宜的,ADJ
extender,to extend,延伸,VERB
extendido,extended,广泛的,ADJ
extensivo,extensive,广泛的,ADJ
extensión,extension,扩展,NOUN
extenso,extensive,广阔的,ADJ
extenuación,exhaustion,疲惫,NOUN
extenuar,to exhaust,使疲惫,VERB
exterminación,extermination,根除,NOUN
exterminar,to exterminate,消灭,VERB
exterminio,extermination,灭绝,NOUN
externado,day school,走读学校,NOUN
externar,to express,表达,VERB
externo,external,外部的,ADJ
extinción,extinction,灭绝,NOUN
extinguible,extinguishable,可熄灭的,ADJ
extinguir,to extinguish,熄灭,VERB
extintor,fire extinguisher,灭火器,NOUN
extirpación,extirpation,切除,NOUN
extirpar,to extirpate,根除,VERB
extorsionar,to extort,勒索,VERB
extorsión,extortion,勒索,NOUN
extracción,extraction,提取,NOUN
extracto,extract,摘录,NOUN
extradición,extradition,引渡,NOUN
extraditar,to extradite,引渡,VERB
extraer,to extract,提取,VERB
extralimitarse,to overstep,越权,VERB
extrapolación,extrapolation,外推,NOUN
extrapolar,to extrapolate,外推,VERB
extravagancia,extravagance,奢侈,NOUN
extravagante,extravagant,奢侈的,ADJ
extraversión,extroversion,外向,NOUN
extravertido,extrovert,外向的,ADJ
extraviado,lost,迷失的,ADJ
extraviar,to misplace,丢失,VERB
extravío,loss,丢失,NOUN
extrañeza,strangeness,奇怪,NOUN
extremar,to intensify,极力,VERB
extremaunción,extreme unction,终傅圣事,NOUN
extremidad,limb,肢体,NOUN
extremista,extremist,极端主义者,NOUN
extrínseco,extrinsic,外在的,ADJ
extático,ecstatic,狂喜的,ADJ
exuberancia,exuberance,繁茂,NOUN
exuberante,exuberant,繁茂的,ADJ
exudar,to exude,渗出,VERB
exultación,exultation,欢腾,NOUN
exultar,to exult,欢腾,VERB
exvoto,votive offering,还愿物,NOUN
exánime,lifeless,无生命的,ADJ
exégesis,exegesis,注释,NOUN
exégeta,exegete,注释家,NOUN
exótico,exotic,异国情调的,ADJ
eyección,ejection,喷射,NOUN
eyectar,to eject,喷射,VERB
fabricación,manufacture,制造,NOUN
fabricante,manufacturer,制造商,NOUN
fabular,to fabricate,虚构,VERB
faccioso,factious,派系的,ADJ
faceta,facet,方面,NOUN
facha,appearance,外表,NOUN
fachada,facade,正面,NOUN
fachoso,showy,浮夸的,ADJ
facilidad,ease,容易,NOUN
facilitar,to facilitate,促进,VERB
facineroso,wicked,邪恶的,ADJ
facsímil,facsimile,副本,NOUN
factible,feasible,可行的,ADJ
facturación,turnover,营业额,NOUN
factótum,factotum,杂役,NOUN
facultativo,optional,可选的,ADJ
faena,task,任务,NOUN
fagocitar,to phagocytize,吞噬,VERB
faisán,pheasant,雉,NOUN
falaz,deceptive,欺骗性的,ADJ
falencia,bankruptcy,破产,NOUN
falibilidad,fallibility,易错性,NOUN
falible,fallible,易错的,ADJ
fallecer,to die,去世,VERB
fallecimiento,death,死亡,NOUN
fallido,failed,失败的,ADJ
falsario,forger,伪造者,NOUN
falsedad,falsity,虚假,NOUN
falsificación,counterfeiting,伪造,NOUN
falsificar,to forge,伪造,VERB
faltar,to lack,缺乏,VERB
faltoso,faulty,有缺陷的,ADJ
faltriquera,pocket,口袋,NOUN
faltón,disrespectful,无礼的,ADJ
familiarizar,to familiarize,使熟悉,VERB
famélico,famished,饥饿的,ADJ
fanal,beacon,灯塔,NOUN
fanatismo,fanaticism,狂热,NOUN
fanfarronear,to brag,吹牛,VERB
fanfarronería,bragging,吹嘘,NOUN
fanfarrón,boastful,爱吹牛的,ADJ
fango,mud,泥,NOUN
fangoso,muddy,泥泞的,ADJ
fantasear,to daydream,幻想,VERB
fantasmagórico,phantasmagorical,幻影般的,ADJ
fantasmal,ghostly,幽灵般的,ADJ
fanático,fanatic,狂热的,ADJ
faraón,pharaoh,法老,NOUN
fardo,bundle,包裹,NOUN
fariseo,Pharisee,法利赛人,NOUN
farmacéutico,pharmacist,药剂师,NOUN
faro,lighthouse,灯塔,NOUN
farol,lantern,灯笼,NOUN
farolear,to brag,吹牛,VERB
farra,binge,狂欢,NOUN
farragosidad,verbosity,冗长,NOUN
farragoso,muddled,混乱的,ADJ
farsante,phony,虚伪的,ADJ
fascinación,fascination,着迷,NOUN
fascinador,fascinating,迷人的,ADJ
fascinar,to fascinate,使着迷,VERB
fascismo,fascism,法西斯主义,NOUN
fascista,fascist,法西斯主义者,NOUN
fastidiar,to annoy,惹恼,VERB
fastidio,annoyance,烦恼,NOUN
fastidioso,annoying,恼人的,ADJ
fastuosidad,sumptuousness,奢华,NOUN
fastuoso,sumptuous,奢华的,ADJ
fatalidad,fatality,致命性,NOUN
fatalismo,fatalism,宿命论,NOUN
fatalista,fatalist,宿命论者,NOUN
fatiga,fatigue,疲劳,NOUN
fatigosamente,wearily,疲惫地,ADV
fatigoso,tiresome,累人的,ADJ
fatuidad,fatuity,愚昧,NOUN
fatuo,fatuous,愚蠢的,ADJ
fatídico,fateful,不祥的,ADJ
fauces,jaws,咽喉,NOUN
fausto,pompous,盛大的,ADJ
favorecedor,flattering,有利的,ADJ
favorecer,to favor,偏袒,VERB
favoritismo,favoritism,偏袒,NOUN
faz,face,面容,NOUN
fealdad,ugliness,丑陋,NOUN
febril,feverish,发烧的,ADJ
fecundación,fertilization,受精,NOUN
fecundar,to fertilize,使受精,VERB
fecundidad,fecundity,多产,NOUN
fecundizar,to fertilize,使肥沃,VERB
fecundo,fertile,肥沃的,ADJ
federar,to federate,结成联邦,VERB
fehaciente,reliable,确凿的,ADJ
felicitación,congratulation,祝贺,NOUN
felicitar,to congratulate,祝贺,VERB
feligresía,parishioners,教区居民,NOUN
feligrés,parishioner,教区居民,NOUN
felino,feline,猫科的,ADJ
felonía,felony,重罪,NOUN
femenil,feminine,女性的,ADJ
feminismo,feminism,女权主义,NOUN
feminista,feminist,女权主义者,NOUN
fenecer,to perish,死亡,VERB
fenomenal,phenomenal,非凡的,ADJ
feracidad,fertility,肥沃,NOUN
feraz,fertile,肥沃的,ADJ
ferino,feral,凶猛的,ADJ
fermentación,fermentation,发酵,NOUN
fermentar,to ferment,发酵,VERB
ferocidad,ferocity,凶猛,NOUN
feroz,fierce,凶猛的,ADJ
ferretería,hardware store,五金店,NOUN
ferrocarril,railway,铁路,NOUN
ferroviario,railway,铁路的,ADJ
fertilidad,fertility,肥沃,NOUN
fertilización,fertilization,施肥,NOUN
fertilizar,to fertilize,施肥,VERB
ferviente,fervent,热情的,ADJ
fervoroso,fervent,热情的,ADJ
festejar,to celebrate,庆祝,VERB
festejo,celebration,庆祝活动,NOUN
festivo,festive,节日的,ADJ
festín,feast,盛宴,NOUN
fetiche,fetish,恋物,NOUN
feto,fetus,胎儿,NOUN
feudalismo,feudalism,封建主义,NOUN
fiabilidad,reliability,可靠性,NOUN
fiable,reliable,可靠的,ADJ
fiador,guarantor,担保人,NOUN
fiar,to trust,信任,VERB
fibra,fiber,纤维,NOUN
fibroso,fibrous,纤维的,ADJ
ficticio,fictitious,虚构的,ADJ
fidedigno,trustworthy,可信的,ADJ
fideicomiso,trust,信托,NOUN
fidelidad,fidelity,忠诚,NOUN
fiduciario,fiduciary,信托的,ADJ
fielmente,faithfully,忠实地,ADV
fiera,wild beast,猛兽,NOUN
fiereza,fierceness,凶猛,NOUN
fiero,fierce,凶猛的,ADJ
figuradamente,figuratively,比喻地,ADV
figurar,to figure,出现,VERB
figurativo,figurative,比喻的,ADJ
figurín,fashion plate,时装图样,NOUN
fijar,to fix,固定,VERB
filamento,filament,细丝,NOUN
filantropía,philanthropy,慈善,NOUN
filarmónica,philharmonic,爱乐乐团,NOUN
filatelista,philatelist,集邮家,NOUN
filatería,philately,集邮学,NOUN
filete,fillet,肉片,NOUN
filiación,affiliation,隶属关系,NOUN
filial,subsidiary,子公司,NOUN
filiar,to register,登记,VERB
filibustero,filibuster,阻挠议事者,NOUN
filigrana,filigree,金银丝细工,NOUN
filo,edge,刀刃,NOUN
filosofar,to philosophize,哲学思考,VERB
filosófico,philosophical,哲学的,ADJ
filtración,leak,泄露,NOUN
filtrar,to filter,过滤,VERB
filtro,filter,过滤器,NOUN
filántropo,philanthropist,慈善家,NOUN
filípico,Philippic,猛烈抨击的,ADJ
filólogo,philologist,语言学家,NOUN
filón,vein,矿脉,NOUN
filósofo,philosopher,哲学家,NOUN
finado,deceased,已故的,ADJ
finalidad,purpose,目的,NOUN
financiación,financing,融资,NOUN
financiar,to finance,资助,VERB
finca,estate,庄园,NOUN
fineza,courtesy,礼貌,NOUN
fingimiento,pretense,假装,NOUN
finiquito,settlement,结算,NOUN
finito,finite,有限的,ADJ
finés,Finnish,芬兰的,ADJ
finísimo,very fine,极细的,ADJ
firmamento,firmament,苍穹,NOUN
firmemente,firmly,坚定地,ADV
firmeza,firmness,坚定,NOUN
fiscalizar,to audit,审计,VERB
fisgar,to snoop,窥探,VERB
fisgoneo,snooping,窥探,NOUN
fisgón,nosy,爱打听的,ADJ
fisiología,physiology,生理学,NOUN
fisiológico,physiological,生理的,ADJ
fisión,fission,裂变,NOUN
fisonomía,physiognomy,面相,NOUN
fisura,fissure,裂缝,NOUN
flacidez,flaccidity,松弛,NOUN
flagelación,flagellation,鞭打,NOUN
flagelar,flog,鞭打,VERB
flagelo,scourge,灾难,NOUN
flagrancia,flagrancy,现行,NOUN
flagrante,flagrant,公然的,ADJ
flamante,brand new,崭新的,ADJ
flameante,flaming,火焰般的,ADJ
flamear,flutter,飘扬,VERB
flanco,flank,侧翼,NOUN
flanquear,flank,包抄,VERB
flaquear,weaken,变弱,VERB
flaqueza,weakness,弱点,NOUN
flautista,flutist,长笛手,NOUN
flebitis,phlebitis,静脉炎,NOUN
flechazo,love at first sight,一见钟情,NOUN
fleco,fringe,流苏,NOUN
flema,phlegm,痰,NOUN
flemático,phlegmatic,冷淡的,ADJ
flemón,abscess,脓肿,NOUN
fletar,charter,租船,VERB
flete,freight,运费,NOUN
flexibilizar,make flexible,使灵活,VERB
flexión,flexion,弯曲,NOUN
flirteo,flirting,调情,NOUN
flojear,slack off,偷懒,VERB
flojedad,looseness,松弛,NOUN
flojera,laziness,懒惰,NOUN
flojo,lazy,懒惰的,ADJ
florecer,to flourish,繁荣,VERB
floreciente,flourishing,繁荣的,ADJ
florecimiento,flourishing,繁荣,NOUN
florido,flowery,华丽的,ADJ
florilegio,anthology,文选,NOUN
floripondio,fancy decoration,华丽的装饰,NOUN
florista,florist,花商,NOUN
florón,finial,饰针,NOUN
flotación,flotation,漂浮,NOUN
flotante,floating,漂浮的,ADJ
flotar,to float,漂浮,VERB
fluctuación,fluctuation,波动,NOUN
fluctuar,to fluctuate,波动,VERB
fluencia,fluency,流利,NOUN
fluidez,fluidity,流畅,NOUN
fluidificar,to liquefy,液化,VERB
fluido,fluid,流体,NOUN
fluir,to flow,流动,VERB
fluorescencia,fluorescence,荧光,NOUN
fluorescente,fluorescent,荧光的,ADJ
fluviométrico,river-gauging,测河的,ADJ
flácido,flaccid,松弛的,ADJ
flúor,fluorine,氟,NOUN
fobia,phobia,恐惧症,NOUN
foca,seal,海豹,NOUN
foco,focus,焦点,NOUN
fofo,spongy,松软的,ADJ
fogata,bonfire,篝火,NOUN
fogosidad,ardor,热情,NOUN
fogoso,fiery,热烈的,ADJ
foguear,to harden,使经受锻炼,VERB
fogón,stove,炉灶,NOUN
folclor,folklore,民俗,NOUN
folclore,folklore,民俗,NOUN
folclórico,folkloric,民俗的,ADJ
foliáceo,foliaceous,叶状的,ADJ
follaje,foliage,枝叶,NOUN
folleto,brochure,小册子,NOUN
follón,ruckus,骚乱,NOUN
fomentar,promote,促进,VERB
fomento,promotion,促进,NOUN
fondear,anchor,抛锚,VERB
fondista,long-distance runner,长跑运动员,NOUN
fontanal,spring,泉水,NOUN
fontanería,plumbing,管道工程,NOUN
forajido,outlaw,亡命之徒,NOUN
forastero,stranger,外地人,NOUN
forcejear,struggle,挣扎,VERB
forcejeo,struggle,挣扎,NOUN
forestal,forest,森林的,ADJ
forestar,afforest,造林,VERB
forjar,forge,锻造,VERB
formalidad,formality,礼节,NOUN
formalismo,formalism,形式主义,NOUN
formalista,formalist,形式主义者,NOUN
formalizar,formalize,使正式,VERB
formato,format,格式,NOUN
formulación,formulation,配方,NOUN
formular,formulate,陈述,VERB
fornido,sturdy,强壮的,ADJ
forofo,fan,狂热爱好者,NOUN
forraje,fodder,饲料,NOUN
fortachón,strapping,魁梧的,ADJ
fortalecer,strengthen,加强,VERB
fortalecimiento,strengthening,加强,NOUN
fortificación,fortification,防御工事,NOUN
fortificar,to fortify,加固,VERB
fortuito,fortuitous,偶然的,ADJ
fortín,fortlet,小堡垒,NOUN
forzado,forced,强迫的,ADJ
forzar,to force,强迫,VERB
forzosamente,forcibly,强制地,ADV
forzoso,obligatory,强制的,ADJ
forúnculo,boil,疖子,NOUN
fosa,pit,坑,NOUN
fosforescencia,phosphorescence,磷光,NOUN
fosforescente,phosphorescent,发磷光的,ADJ
fosilizado,fossilized,化石的,ADJ
fosilizar,to fossilize,使化石,VERB
fotocopia,photocopy,复印件,NOUN
fotofobia,photophobia,畏光,NOUN
fotograbado,photogravure,照相凹版,NOUN
fotograma,frame,帧,NOUN
fotogénico,photogenic,上镜的,ADJ
fototipia,phototypy,照相平版印刷,NOUN
fracasar,to fail,失败,VERB
fraccionar,to fractionate,分割,VERB
fraccionario,fractional,分数的,ADJ
fracción,fraction,分数,NOUN
fractura,fracture,骨折,NOUN
fracturar,to fracture,使骨折,VERB
fragancia,fragrance,香气,NOUN
fragante,fragrant,芬芳的,ADJ
fragata,frigate,护卫舰,NOUN
fragilidad,fragility,脆弱,NOUN
fragmentación,fragmentation,碎片化,NOUN
fragmentar,to fragment,使破碎,VERB
fragmentario,fragmentary,零碎的,ADJ
fragmento,fragment,碎片,NOUN
fragor,roar,轰鸣,NOUN
fragoroso,thunderous,雷鸣般的,ADJ
fragoso,rough,崎岖的,ADJ
fragua,forge,锻造炉,NOUN
fraguar,to forge,锻造,VERB
fraile,friar,修道士,NOUN
francachela,revelry,狂欢,NOUN
franciscano,Franciscan,方济各会的,ADJ
francotirador,sniper,狙击手,NOUN
franja,strip,条带,NOUN
franquear,to clear,清除,VERB
franqueo,postage,邮资,NOUN
franqueza,frankness,坦率,NOUN
franquicia,franchise,特许经营权,NOUN
fraseología,phraseology,措辞,NOUN
fraternidad,fraternity,兄弟情谊,NOUN
fraternizar,to fraternize,结交,VERB
fraterno,fraternal,兄弟般的,ADJ
fratricidio,fratricide,弑兄,NOUN
fraudulento,fraudulent,欺诈的,ADJ
frecuentar,to frequent,常去,VERB
frecuente,frequent,频繁的,ADJ
fregadero,sink,水槽,NOUN
fregar,to scrub,擦洗,VERB
freidora,fryer,炸锅,NOUN
frenar,to brake,刹车,VERB
frenazo,sudden braking,急刹车,NOUN
frenesí,frenzy,狂热,NOUN
freno,brake,刹车,NOUN
frenético,frantic,狂乱的,ADJ
fresa,strawberry,草莓,NOUN
frescor,coolness,凉爽,NOUN
frescura,freshness,新鲜,NOUN
freír,to fry,油炸,VERB
friccionar,to rub,摩擦,VERB
fricción,friction,摩擦,NOUN
frigorífico,refrigerator,冰箱,NOUN
frijolar,to plant beans,种豆,VERB
friolento,sensitive to cold,怕冷的,ADJ
friolera,trifle,琐事,NOUN
frisar,to border on,接近,VERB
friso,frieze,檐壁,NOUN
fritura,fried food,油炸食品,NOUN
frondosidad,leafiness,枝叶繁茂,NOUN
frondoso,leafy,枝叶茂密的,ADJ
fronterizo,border,边境的,ADJ
frontón,pediment,山墙,NOUN
frotación,friction,摩擦,NOUN
frotamiento,rubbing,摩擦,NOUN
frotar,to rub,摩擦,VERB
fructificar,to bear fruit,结果实,VERB
fructuosamente,fruitfully,富有成效地,ADV
fructífero,fruitful,富有成效的,ADJ
frugalidad,frugality,节俭,NOUN
fruición,delight,喜悦,NOUN
frunce,gather,褶皱,NOUN
fruncir,to wrinkle,皱起,VERB
frustración,frustration,挫折,NOUN
frustrado,frustrated,受挫的,ADJ
frustrante,frustrating,令人沮丧的,ADJ
frustrar,to frustrate,使受挫,VERB
frutal,fruit tree,果树的,ADJ
fréjol,bean,豆,NOUN
frígido,frigid,寒冷的,ADJ
frívolo,frivolous,轻浮的,ADJ
fucsia,fuchsia,紫红色,NOUN
fuelle,bellows,风箱,NOUN
fuero,jurisdiction,司法权,NOUN
fugarse,to escape,逃跑,VERB
fugaz,fleeting,短暂的,ADJ
fulano,so-and-so,某人,PRON
fulcro,fulcrum,支点,NOUN
fulgir,to shine,发光,VERB
fulgor,radiance,光辉,NOUN
fulgurante,brilliant,闪耀的,ADJ
fulgurar,to flash,闪烁,VERB
fulminante,sudden,迅猛的,ADJ
fulminar,to strike down,击倒,VERB
fumarada,puff,一口烟,NOUN
fumarola,fumarole,喷气孔,NOUN
fumigación,fumigation,熏蒸,NOUN
fumigar,to fumigate,熏蒸,VERB
funcionalidad,functionality,功能性,NOUN
funcionalismo,functionalism,功能主义,NOUN
funcionario,civil servant,公务员,NOUN
funda,cover,套子,NOUN
fundación,foundation,基金会,NOUN
fundamentalismo,fundamentalism,原教旨主义,NOUN
fundamentar,to base,基于,VERB
fundamento,basis,基础,NOUN
fundar,to found,建立,VERB
fundente,flux,熔剂,NOUN
fundición,foundry,铸造厂,NOUN
fundir,to melt,熔化,VERB
funerario,funereal,丧葬的,ADJ
funesto,fatal,灾难性的,ADJ
fungoso,fungal,真菌的,ADJ
funámbulo,tightrope walker,走钢丝者,NOUN
furibundo,furious,狂怒的,ADJ
furor,fury,狂怒,NOUN
furtivo,furtive,鬼鬼祟祟的,ADJ
furúnculo,furuncle,疖,NOUN
fuselaje,fuselage,机身,NOUN
fusible,fuse,保险丝,NOUN
fusil,rifle,步枪,NOUN
fusilamiento,execution by firing squad,枪决,NOUN
